Surface_Area_um2,PM_Tension_10_2_N_per_m,PG_Tension_10_2_N_per_m,Total_Tension_10_2_N_per_m,Rupture_Tension_10_2_N_per_m
15.000000,0.000000,0.000000,0.000000,1.5
15.083612,0.000000,0.031773,0.031773,1.5
15.167224,0.000000,0.063545,0.063545,1.5
15.250836,0.000000,0.095318,0.095318,1.5
15.334448,0.000000,0.127090,0.127090,1.5
15.418060,0.000000,0.158863,0.158863,1.5
15.501672,0.000000,0.190635,0.190635,1.5
15.585284,0.000000,0.222408,0.222408,1.5
15.668896,0.000000,0.254181,0.254181,1.5
15.752508,0.000000,0.285953,0.285953,1.5
15.836120,0.000000,0.317726,0.317726,1.5
15.919732,0.000000,0.349498,0.349498,1.5
16.003344,0.000000,0.381271,0.381271,1.5
16.086957,0.000000,0.413043,0.413043,1.5
16.170569,0.000000,0.444816,0.444816,1.5
16.254181,0.000000,0.476589,0.476589,1.5
16.337793,0.000000,0.508361,0.508361,1.5
16.421405,0.000000,0.540134,0.540134,1.5
16.505017,0.000000,0.571906,0.571906,1.5
16.588629,0.000000,0.603679,0.603679,1.5
16.672241,0.000000,0.635452,0.635452,1.5
16.755853,0.000000,0.667224,0.667224,1.5
16.839465,0.000000,0.698997,0.698997,1.5
16.923077,0.000000,0.730769,0.730769,1.5
17.006689,0.000000,0.762542,0.762542,1.5
17.090301,0.000000,0.794314,0.794314,1.5
17.173913,0.000000,0.826087,0.826087,1.5
17.257525,0.000000,0.857860,0.857860,1.5
17.341137,0.000000,0.889632,0.889632,1.5
17.424749,0.000000,0.921405,0.921405,1.5
17.508361,0.000000,0.953177,0.953177,1.5
17.591973,0.000000,0.984950,0.984950,1.5
17.675585,0.000000,1.016722,1.016722,1.5
17.759197,0.000000,1.048495,1.048495,1.5
17.842809,0.000000,1.080268,1.080268,1.5
17.926421,0.000000,1.112040,1.112040,1.5
18.010033,0.000000,1.143813,1.143813,1.5
18.093645,0.000000,1.175585,1.175585,1.5
18.177258,0.000000,1.207358,1.207358,1.5
18.260870,0.000000,1.239130,1.239130,1.5
18.344482,0.000000,1.270903,1.270903,1.5
18.428094,0.000000,1.302676,1.302676,1.5
18.511706,0.000000,1.334448,1.334448,1.5
18.595318,0.000000,1.366221,1.366221,1.5
18.678930,0.000000,1.397993,1.397993,1.5
18.762542,0.000000,1.429766,1.429766,1.5
18.846154,0.000000,1.461538,1.461538,1.5
18.929766,0.000000,1.493311,1.493311,1.5
19.013378,0.000000,1.525084,1.525084,1.5
19.096990,0.000000,1.556856,1.556856,1.5
19.180602,0.000000,1.588629,1.588629,1.5
19.264214,0.000000,1.620401,1.620401,1.5
19.347826,0.000000,1.652174,1.652174,1.5
19.431438,0.000000,1.683946,1.683946,1.5
19.515050,0.000000,1.715719,1.715719,1.5
19.598662,0.000000,1.747492,1.747492,1.5
19.682274,0.000000,1.779264,1.779264,1.5
19.765886,0.000000,1.811037,1.811037,1.5
19.849498,0.000000,1.842809,1.842809,1.5
19.933110,0.000000,1.874582,1.874582,1.5
20.016722,0.000000,1.906355,1.906355,1.5
20.100334,0.000000,1.938127,1.938127,1.5
20.183946,0.000000,1.969900,1.969900,1.5
20.267559,0.000000,2.001672,2.001672,1.5
20.351171,0.000000,2.033445,2.033445,1.5
20.434783,0.000000,2.065217,2.065217,1.5
20.518395,0.000000,2.096990,2.096990,1.5
20.602007,0.000000,2.128763,2.128763,1.5
20.685619,0.000000,2.160535,2.160535,1.5
20.769231,0.000000,2.192308,2.192308,1.5
20.852843,0.000000,2.224080,2.224080,1.5
20.936455,0.000000,2.255853,2.255853,1.5
21.020067,0.000000,2.287625,2.287625,1.5
21.103679,0.000000,2.319398,2.319398,1.5
21.187291,0.000000,2.351171,2.351171,1.5
21.270903,0.000000,2.382943,2.382943,1.5
21.354515,0.000000,2.414716,2.414716,1.5
21.438127,0.000000,2.446488,2.446488,1.5
21.521739,0.000000,2.478261,2.478261,1.5
21.605351,0.000000,2.510033,2.510033,1.5
21.688963,0.000000,2.541806,2.541806,1.5
21.772575,0.000000,2.573579,2.573579,1.5
21.856187,0.000000,2.605351,2.605351,1.5
21.939799,0.000000,2.637124,2.637124,1.5
22.023411,0.000000,2.668896,2.668896,1.5
22.107023,0.000000,2.700669,2.700669,1.5
22.190635,0.000000,2.732441,2.732441,1.5
22.274247,0.000000,2.764214,2.764214,1.5
22.357860,0.000000,2.795987,2.795987,1.5
22.441472,0.000000,2.827759,2.827759,1.5
22.525084,0.000000,2.859532,2.859532,1.5
22.608696,0.000000,2.891304,2.891304,1.5
22.692308,0.000000,2.923077,2.923077,1.5
22.775920,0.000000,2.954849,2.954849,1.5
22.859532,0.000000,2.986622,2.986622,1.5
22.943144,0.000000,3.018395,3.018395,1.5
23.026756,0.000000,3.050167,3.050167,1.5
23.110368,0.000000,3.081940,3.081940,1.5
23.193980,0.000000,3.113712,3.113712,1.5
23.277592,0.000000,3.145485,3.145485,1.5
23.361204,0.000000,3.177258,3.177258,1.5
23.444816,0.000000,3.209030,3.209030,1.5
23.528428,0.000000,3.240803,3.240803,1.5
23.612040,0.000000,3.272575,3.272575,1.5
23.695652,0.000000,3.304348,3.304348,1.5
23.779264,0.000000,3.336120,3.336120,1.5
23.862876,0.000000,3.367893,3.367893,1.5
