Pressure_atm,PM_Tension_10_2_N_per_m,PG_Tension_10_2_N_per_m,Total_Tension_10_2_N_per_m,Rupture_Tension_10_2_N_per_m
0.000000,0.000000,0.000000,0.000000,1.5
0.013378,0.000000,0.033445,0.034515,1.5
0.026756,0.000000,0.066890,0.069030,1.5
0.040134,0.000000,0.100334,0.103545,1.5
0.053512,0.000000,0.133779,0.138060,1.5
0.066890,0.000000,0.167224,0.172575,1.5
0.080268,0.000000,0.200669,0.207090,1.5
0.093645,0.000000,0.234114,0.241605,1.5
0.107023,0.000000,0.267559,0.276120,1.5
0.120401,0.000000,0.301003,0.310635,1.5
0.133779,0.000000,0.334448,0.345151,1.5
0.147157,0.000000,0.367893,0.379666,1.5
0.160535,0.000000,0.401338,0.414181,1.5
0.173913,0.000000,0.434783,0.448696,1.5
0.187291,0.000000,0.468227,0.483211,1.5
0.200669,0.000000,0.501672,0.517726,1.5
0.214047,0.000000,0.535117,0.552241,1.5
0.227425,0.000000,0.568562,0.586756,1.5
0.240803,0.000000,0.602007,0.621271,1.5
0.254181,0.000000,0.635452,0.655786,1.5
0.267559,0.000000,0.668896,0.690301,1.5
0.280936,0.000000,0.702341,0.724816,1.5
0.294314,0.000000,0.735786,0.759331,1.5
0.307692,0.000000,0.769231,0.793846,1.5
0.321070,0.000000,0.802676,0.828361,1.5
0.334448,0.000000,0.836120,0.862876,1.5
0.347826,0.000000,0.869565,0.897391,1.5
0.361204,0.000000,0.903010,0.931906,1.5
0.374582,0.000000,0.936455,0.966421,1.5
0.387960,0.000000,0.969900,1.000936,1.5
0.401338,0.000000,1.003344,1.035452,1.5
0.414716,0.000000,1.036789,1.069967,1.5
0.428094,0.000000,1.070234,1.104482,1.5
0.441472,0.000000,1.103679,1.138997,1.5
0.454849,0.000000,1.137124,1.173512,1.5
0.468227,0.000000,1.170569,1.208027,1.5
0.481605,0.000000,1.204013,1.242542,1.5
0.494983,0.000000,1.237458,1.277057,1.5
0.508361,0.000000,1.270903,1.311572,1.5
0.521739,0.000000,1.304348,1.346087,1.5
0.535117,0.000000,1.337793,1.380602,1.5
0.548495,0.000000,1.371237,1.415117,1.5
0.561873,0.000000,1.404682,1.449632,1.5
0.575251,0.000000,1.438127,1.484147,1.5
0.588629,0.000000,1.471572,1.518662,1.5
0.602007,0.000000,1.505017,1.553177,1.5
0.615385,0.000000,1.538462,1.587692,1.5
0.628763,0.000000,1.571906,1.622207,1.5
0.642140,0.000000,1.605351,1.656722,1.5
0.655518,0.000000,1.638796,1.691237,1.5
0.668896,0.000000,1.672241,1.725753,1.5
0.682274,0.000000,1.705686,1.760268,1.5
0.695652,0.000000,1.739130,1.794783,1.5
0.709030,0.000000,1.772575,1.829298,1.5
0.722408,0.000000,1.806020,1.863813,1.5
0.735786,0.000000,1.839465,1.898328,1.5
0.749164,0.000000,1.872910,1.932843,1.5
0.762542,0.000000,1.906355,1.967358,1.5
0.775920,0.000000,1.939799,2.001873,1.5
0.789298,0.000000,1.973244,2.036388,1.5
0.802676,0.000000,2.006689,2.070903,1.5
0.816054,0.000000,2.040134,2.105418,1.5
0.829431,0.000000,2.073579,2.139933,1.5
0.842809,0.000000,2.107023,2.174448,1.5
0.856187,0.000000,2.140468,2.208963,1.5
0.869565,0.000000,2.173913,2.243478,1.5
0.882943,0.000000,2.207358,2.277993,1.5
0.896321,0.000000,2.240803,2.312508,1.5
0.909699,0.000000,2.274247,2.347023,1.5
0.923077,0.000000,2.307692,2.381538,1.5
0.936455,0.000000,2.341137,2.416054,1.5
0.949833,0.000000,2.374582,2.450569,1.5
0.963211,0.000000,2.408027,2.485084,1.5
0.976589,0.000000,2.441472,2.519599,1.5
0.989967,0.000000,2.474916,2.554114,1.5
1.003344,0.000000,2.508361,2.588629,1.5
1.016722,0.000000,2.541806,2.623144,1.5
1.030100,0.000000,2.575251,2.657659,1.5
1.043478,0.000000,2.608696,2.692174,1.5
1.056856,0.000000,2.642140,2.726689,1.5
1.070234,0.000000,2.675585,2.761204,1.5
1.083612,0.000000,2.709030,2.795719,1.5
1.096990,0.000000,2.742475,2.830234,1.5
1.110368,0.000000,2.775920,2.864749,1.5
1.123746,0.000000,2.809365,2.899264,1.5
1.137124,0.000000,2.842809,2.933779,1.5
1.150502,0.000000,2.876254,2.968294,1.5
1.163880,0.000000,2.909699,3.002809,1.5
1.177258,0.000000,2.943144,3.037324,1.5
1.190635,0.000000,2.976589,3.071839,1.5
1.204013,0.000000,3.010033,3.106355,1.5
1.217391,0.000000,3.043478,3.140870,1.5
1.230769,0.000000,3.076923,3.175385,1.5
1.244147,0.000000,3.110368,3.209900,1.5
1.257525,0.000000,3.143813,3.244415,1.5
1.270903,0.000000,3.177258,3.278930,1.5
1.284281,0.000000,3.210702,3.313445,1.5
1.297659,0.000000,3.244147,3.347960,1.5
1.311037,0.000000,3.277592,3.382475,1.5
1.324415,0.000000,3.311037,3.416990,1.5
1.337793,0.000000,3.344482,3.451505,1.5
1.351171,0.000000,3.377926,3.486020,1.5
1.364548,0.000000,3.411371,3.520535,1.5
1.377926,0.000000,3.444816,3.555050,1.5
1.391304,0.000000,3.478261,3.589565,1.5
1.404682,0.000000,3.511706,3.624080,1.5
1.418060,0.000000,3.545151,3.658595,1.5
1.431438,0.000000,3.578595,3.693110,1.5
1.444816,0.000000,3.612040,3.727625,1.5
1.458194,0.000000,3.645485,3.762140,1.5
1.471572,0.000000,3.678930,3.796656,1.5
1.484950,0.000000,3.712375,3.831171,1.5
1.498328,0.000000,3.745819,3.865686,1.5
1.511706,0.000000,3.779264,3.900201,1.5
1.525084,0.000000,3.812709,3.934716,1.5
1.538462,0.000000,3.846154,3.969231,1.5
1.551839,0.000000,3.879599,4.003746,1.5
1.565217,0.000000,3.913043,4.038261,1.5
1.578595,0.000000,3.946488,4.072776,1.5
1.591973,0.000000,3.979933,4.107291,1.5
1.605351,0.000000,4.013378,4.141806,1.5
1.618729,0.000000,4.046823,4.176321,1.5
1.632107,0.000000,4.080268,4.210836,1.5
1.645485,0.000000,4.113712,4.245351,1.5
1.658863,0.000000,4.147157,4.279866,1.5
1.672241,0.000000,4.180602,4.314381,1.5
1.685619,0.000000,4.214047,4.348896,1.5
1.698997,0.000000,4.247492,4.383411,1.5
1.712375,0.000000,4.280936,4.417926,1.5
1.725753,0.000000,4.314381,4.452441,1.5
1.739130,0.000000,4.347826,4.486957,1.5
1.752508,0.000000,4.381271,4.521472,1.5
1.765886,0.000000,4.414716,4.555987,1.5
1.779264,0.000000,4.448161,4.590502,1.5
1.792642,0.000000,4.481605,4.625017,1.5
1.806020,0.000000,4.515050,4.659532,1.5
1.819398,0.000000,4.548495,4.694047,1.5
1.832776,0.000000,4.581940,4.728562,1.5
1.846154,0.000000,4.615385,4.763077,1.5
1.859532,0.000000,4.648829,4.797592,1.5
1.872910,0.000000,4.682274,4.832107,1.5
1.886288,0.000000,4.715719,4.866622,1.5
1.899666,0.000000,4.749164,4.901137,1.5
1.913043,0.000000,4.782609,4.935652,1.5
1.926421,0.000000,4.816054,4.970167,1.5
1.939799,0.000000,4.849498,5.004682,1.5
1.953177,0.000000,4.882943,5.039197,1.5
1.966555,0.000000,4.916388,5.073712,1.5
1.979933,0.000000,4.949833,5.108227,1.5
1.993311,0.000000,4.983278,5.142742,1.5
2.006689,0.000000,5.016722,5.177258,1.5
2.020067,0.000000,5.050167,5.211773,1.5
2.033445,0.000000,5.083612,5.246288,1.5
2.046823,0.000000,5.117057,5.280803,1.5
2.060201,0.000000,5.150502,5.315318,1.5
2.073579,0.000000,5.183946,5.349833,1.5
2.086957,0.000000,5.217391,5.384348,1.5
2.100334,0.000000,5.250836,5.418863,1.5
2.113712,0.000000,5.284281,5.453378,1.5
2.127090,0.000000,5.317726,5.487893,1.5
2.140468,0.000000,5.351171,5.522408,1.5
2.153846,0.000000,5.384615,5.556923,1.5
2.167224,0.000000,5.418060,5.591438,1.5
2.180602,0.000000,5.451505,5.625953,1.5
2.193980,0.000000,5.484950,5.660468,1.5
2.207358,0.000000,5.518395,5.694983,1.5
2.220736,0.000000,5.551839,5.729498,1.5
2.234114,0.000000,5.585284,5.764013,1.5
2.247492,0.000000,5.618729,5.798528,1.5
2.260870,0.000000,5.652174,5.833043,1.5
2.274247,0.000000,5.685619,5.867559,1.5
2.287625,0.000000,5.719064,5.902074,1.5
2.301003,0.000000,5.752508,5.936589,1.5
2.314381,0.000000,5.785953,5.971104,1.5
2.327759,0.000000,5.819398,6.005619,1.5
2.341137,0.000000,5.852843,6.040134,1.5
2.354515,0.000000,5.886288,6.074649,1.5
2.367893,0.000000,5.919732,6.109164,1.5
